,Unnamed: 0,age_certification,description,genres,id,imdb_id,imdb_score,imdb_votes,production_countries,release_year,runtime,seasons,title,tmdb_id,tmdb_popularity,tmdb_score,type,budget,revenue,winst
1075,124,PG-13,"Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.","['action', 'fantasy', 'comedy', 'family']",tm187187,tt0107362,6.4,150498.0,['US'],1993,131,,Last Action Hero,9593,22.196,6.379,MOVIE,85000000.0,137298489.0,52298489.0
1076,883,PG-13,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.","['drama', 'comedy', 'european']",tm187279,tt2431286,7.6,99647.0,['GB'],2013,97,,Philomena,205220,9.752,7.4,MOVIE,12000000.0,100129872.0,88129872.0
1079,131,R,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.","['drama', 'thriller', 'crime', 'action']",tm187791,tt0107206,7.2,102916.0,['US'],1993,128,,In the Line of Fire,9386,19.8,6.973,MOVIE,40000000.0,176997168.0,136997168.0
1080,890,PG,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.","['animation', 'scifi', 'drama', 'comedy', 'family', 'fantasy']",tm187979,tt1985966,6.3,102071.0,['US'],2013,95,,Cloudy with a Chance of Meatballs 2,109451,64.17,6.443,MOVIE,78000000.0,248384621.0,170384621.0
1083,170,,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","['drama', 'european']",tm188606,tt0108041,7.0,692.0,"['DE', 'GH', 'GB', 'US', 'BF']",1993,124,,Sankofa,68351,1.858,6.5,MOVIE,1000000.0,2691899.0,1691899.0
1086,141,R,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,"['drama', 'crime', 'thriller']",tm189764,tt0107554,7.5,58179.0,['US'],1993,97,,Menace II Society,9516,13.928,7.542,MOVIE,3500000.0,27900000.0,24400000.0
1087,153,PG-13,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.","['western', 'history', 'drama']",tm190811,tt0107004,6.5,11709.0,['US'],1993,115,,Geronimo: An American Legend,35588,8.136,6.3,MOVIE,35000000.0,18635620.0,-16364380.0
1089,96,R,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",['drama'],tm191013,tt0118749,7.9,261563.0,['US'],1997,156,,Boogie Nights,4995,20.436,7.6,MOVIE,15000000.0,43101594.0,28101594.0
1090,102,PG-13,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","['drama', 'romance']",tm191110,tt0120338,7.9,1146825.0,['US'],1997,194,,Titanic,597,155.683,7.878,MOVIE,200000000.0,2187463944.0,1987463944.0
1091,135,PG-13,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.","['horror', 'thriller', 'action']",tm191387,tt0118615,4.8,104213.0,"['PE', 'US', 'BR']",1997,89,,Anaconda,9360,34.405,5.1,MOVIE,45000000.0,136885767.0,91885767.0
1092,154,R,He's a one-man arsenal... with enough voltage to rock the free world. They Don't Play by the Rules. You're either on their side...or in their way. America's top counter-terrorist usually works alone...this time he's got company.,"['action', 'scifi', 'comedy', 'thriller']",tm191431,tt0119013,4.8,34396.0,"['HK', 'US']",1997,93,,Double Team,9405,14.599,5.1,MOVIE,30000000.0,48138337.0,18138337.0
1094,138,PG-13,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.","['action', 'drama', 'history', 'war']",tm191772,tt0120102,7.1,142903.0,['US'],1997,136,,Seven Years in Tibet,978,13.766,7.2,MOVIE,70000000.0,131457682.0,61457682.0
1095,118,R,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,"['drama', 'thriller', 'crime']",tm191989,tt0119008,7.7,303868.0,['US'],1997,127,,Donnie Brasco,9366,22.225,7.5,MOVIE,35000000.0,124909762.0,89909762.0
1096,104,R,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".","['scifi', 'action', 'thriller']",tm192037,tt0120201,7.3,291452.0,['US'],1997,129,,Starship Troopers,563,29.5,6.993,MOVIE,105000000.0,121214377.0,16214377.0
1097,148,PG-13,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.","['scifi', 'action', 'drama', 'horror']",tm192199,tt0120177,5.2,68184.0,['US'],1997,96,,Spawn,10336,16.989,5.343,MOVIE,40000000.0,87840042.0,47840042.0
1099,108,PG-13,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.","['scifi', 'thriller', 'romance', 'drama']",tm192405,tt0119177,7.8,300701.0,['US'],1997,106,,Gattaca,782,17.789,7.553,MOVIE,36000000.0,12532777.0,-23467223.0
1100,146,R,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.","['crime', 'thriller', 'drama', 'action', 'european']",tm192431,tt0962637,6.2,65323.0,['US'],1997,107,,The Devil's Own,4477,12.863,6.1,MOVIE,90000000.0,140807547.0,50807547.0
1101,130,PG,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",['comedy'],tm192769,tt0120434,5.9,49377.0,['US'],1997,94,,Vegas Vacation,11419,12.537,6.1,MOVIE,25000000.0,36400360.0,11400360.0
1107,1198,R,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.","['history', 'drama']",tm193769,tt2080374,7.2,168042.0,"['GB', 'US']",2015,125,,Steve Jobs,321697,12.847,6.8,MOVIE,30000000.0,34441873.0,4441873.0
1108,1190,PG-13,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.","['horror', 'thriller']",tm194792,tt3882082,6.0,90853.0,['US'],2016,97,,The Boy,321258,29.848,5.9,MOVIE,10000000.0,64188367.0,54188367.0
1109,137,PG-13,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.","['comedy', 'sport']",tm19494,tt0191397,6.6,64771.0,['US'],2000,118,,The Replacements,10393,30.982,6.6,MOVIE,50000000.0,50054511.0,54511.0
1110,1133,R,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.","['thriller', 'crime', 'drama', 'european']",tm195209,tt3569230,6.9,178601.0,"['GB', 'US', 'FR']",2015,131,,Legend,276907,333.013,6.985,MOVIE,25000000.0,42972994.0,17972994.0
1116,1228,R,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,"['drama', 'comedy', 'romance']",tm196125,tt3766394,6.6,21105.0,['US'],2015,95,,"Hello, My Name Is Doris",320588,13.528,6.4,MOVIE,1000000.0,14659448.0,13659448.0
1117,1206,PG-13,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,"['drama', 'animation', 'family', 'fantasy', 'thriller', 'european']",tm196296,tt3416532,7.4,87806.0,"['US', 'GB', 'ES']",2016,108,,A Monster Calls,258230,84.977,7.2,MOVIE,43000000.0,47309313.0,4309313.0
1128,1155,R,Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin.,"['drama', 'thriller', 'documentation']",tm199607,tt4178092,7.0,155102.0,"['AU', 'US']",2015,108,,The Gift,328425,15.146,6.7,MOVIE,5000000.0,58978653.0,53978653.0
1129,1212,R,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.","['drama', 'romance', 'european']",tm199700,tt0810819,7.1,183579.0,"['BE', 'DK', 'DE', 'GB', 'US']",2015,119,,The Danish Girl,306819,21.369,7.6,MOVIE,15000000.0,64191523.0,49191523.0
1133,1420,PG,Adhi and Tara are in a live-in relationship but they are both unwilling to get married. How do they realize that marriage is just a natural progression of their relationship?,"['romance', 'drama']",tm200454,tt4271820,7.4,5877.0,['IN'],2015,139,,Ok Kanmani,329135,4.318,6.8,MOVIE,940000.0,5100000.0,4160000.0
1134,1420,PG,Adhi and Tara are in a live-in relationship but they are both unwilling to get married. How do they realize that marriage is just a natural progression of their relationship?,"['romance', 'drama']",tm200454,tt4271820,7.4,5877.0,['IN'],2015,139,,Ok Kanmani,329135,4.318,6.8,MOVIE,940000.0,5100000.0,4160000.0
1136,1256,R,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.","['horror', 'thriller', 'scifi', 'drama', 'fantasy']",tm200690,tt3387542,4.8,42561.0,['US'],2016,95,,The Forest,329440,33.204,5.2,MOVIE,10000000.0,37608299.0,27608299.0
